,address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
388,,,True,True,München,Siglinde Feicht,Ramersdorf,,False,118471751,True,,,9,569000.0,False,3.0,69.29,3 Zi. - Terrassenwohnung -neuwertig-barrierefrei-,https://www.immobilienscout24.de/expose/118471751,81549
389,,,True,False,München,Immobilien Gräser ,Untermenzing,,False,118436071,False,,,5,511100.0,False,2.0,60.93,Optimal geschnittene 2-Zimmer-Wohnung in ruhiger Lage! ,https://www.immobilienscout24.de/expose/118436071,80999
393,,,True,False,München,Immobilien Gräser ,Untermenzing,,True,118435704,False,,,7,810500.0,False,3.0,96.69,Sonnige 3-Zimmer-Wohnung für Gartenliebhaber! URLAUB IM GARTEN !,https://www.immobilienscout24.de/expose/118435704,80999
399,Cincinnatistraße 20,,True,True,München,Harald Hecker,Obergiesing,,True,118331027,True,48.09194,11.59184,17,695000.0,False,4.0,95.58,Alles neu! 4 Zimmer Fasangarten - komplett auf den Kopf gestellt,https://www.immobilienscout24.de/expose/118331027,81549
404,,,True,True,München,Peter Höck Beratungs- und Vermittlungs- GmbH,Bogenhausen,,False,116569821,True,,,14,525000.0,False,3.0,81.0,Ruhige 3-Zimmer-Wohnung in schöner Wohnanlage,https://www.immobilienscout24.de/expose/116569821,81929
412,,,True,True,München,Jana Lange,Aubing,,True,118446357,True,,,14,399000.0,False,3.0,71.83,Freie 3-Zimmer-Eigentumswohnung mit Westbalkon!,https://www.immobilienscout24.de/expose/118446357,81243
414,,,False,True,München,Claudius Osterried,Aubing,,False,118292508,True,,,11,440000.0,False,3.0,75.0,Hell und bezugsfrei! Hochwertig ausgestattete 3-Zimmer-Eigentumswohnung,https://www.immobilienscout24.de/expose/118292508,81243
422,,,True,True,München,Ramona Pfost,Perlach,,False,118387686,True,,,6,750000.0,False,4.0,90.73,W O H N E R L E B N I S  .....   Drinnen   und   Draußen,https://www.immobilienscout24.de/expose/118387686,81735
423,,,True,True,München,Ramona Pfost,Perlach,,False,118387883,True,,,6,750000.0,False,4.0,90.73,Atmosphäre pur   ....  Exklusive Wohnung in München-Perlach,https://www.immobilienscout24.de/expose/118387883,81735
428,,,True,True,München,Christian Borbe,Solln,,False,118323844,True,,,18,630000.0,False,3.0,96.0,Alpenblick + Süd-Loggia - Lichtdurchflutete Etagenwohnung,https://www.immobilienscout24.de/expose/118323844,81477
436,,,True,True,München (Kreis),Andreas Hoffmann,Gräfelfing,,False,118307433,True,,,25,465000.0,False,3.0,73.0,"Sonnige, ruhige Traumwohnung mit großem Süd-Balkon und Blick ins Grüne",https://www.immobilienscout24.de/expose/118307433,82166
437,,,True,True,München (Kreis),Andreas Hoffmann,Gräfelfing,,False,118306903,True,,,25,465000.0,False,3.0,73.0,"Sonnige, ruhige Traumwohnung mit großem Süd-Balkon und Blick ins Grüne",https://www.immobilienscout24.de/expose/118306903,82166
441,Strahlenfelser Str. 21,,True,True,München,Michael Klein,Aubing,,True,118399145,False,48.14705,11.422460000000001,7,768000.0,False,4.0,92.5,Großzügige 4-Garten Wohnung mit großer Terrasse  Ruhige und zentrale Bestlage Aubing,https://www.immobilienscout24.de/expose/118399145,81243
443,,,True,True,München,Werner Pletzer,Allach,,False,118362054,True,,,11,419000.0,False,2.0,66.22,"Großzügige, attraktiv geschnittene 2-Zimmer Wohnung mit West- und Ostbalkon ",https://www.immobilienscout24.de/expose/118362054,85757
